,SOURCE,TARGET,label_modified
0,壓力,返工,because
1,生存,唔記得,because
2,機會,朋友,because
3,生活,無聊,because
4,時間,工作,because
5,傾過,朋友,because
6,傾過,問題,because
7,傾過,唔開心,because
8,傾過,情緒,because
9,返工,屋企,because
10,情緒,生活,because
11,情緒,屋企,because
12,唔緊要,問題,because
13,情緒,朋友,because
14,意義,失敗,because
15,唔緊要,朋友,because
16,攰,自殘,because
17,唔緊要,時間,because
18,攰,抑鬱,because
19,情緒,學校,because
20,壓力,生命,because
21,情緒,難,because
22,難,傷害,because
23,傷害,問題,because
24,攰,孤獨,because
25,情緒,病,because
26,多謝,休息,because
27,生存,愛,because
28,冇用,好難,because
29,自殺,冇用,because
30,亂,煩惱,because
31,困擾,生活,because
32,介意,面對面,because
33,困擾,唔開心,because
34,困擾,屋企,because
35,介意,老公,because
36,困擾,朋友,because
37,困擾,情緒,because
38,失敗,讀書,because
39,介意,我媽,because
40,失敗,好難,because
41,失敗,以為,because
42,攰,討厭,because
43,好耐,情緒,because
44,生存,家人,because
45,生存,朋友,because
46,好耐,朋友,because
47,好耐,問題,because
48,時間,難,because
49,生存,以為,because
50,解決,問題,because
51,朋友,分享,because
52,多謝,情緒,because
53,人生,無力,because
54,多謝,明白,because
55,多謝,生活,because
56,好耐,屋企,because
57,壓力,生存意義,because
58,情緒,同事,because
59,壓力,複雜,because
60,舒服,生活,because
61,壓力,人際關係,because
62,舒服,休息,because
63,舒服,傾到,because
64,舒服,原因,because
65,舒服,屋企,because
66,壓力,以為,because
67,壓力,忙,because
68,壓力,問題,because
69,醫生,覆診,because
70,壓力,傷害,because
71,舒服,朋友,because
72,生活,尷尬,because
73,壓力,難,because
74,生活,手機,because
75,生活,好返,because
76,生活,寂寞,because
77,處理,生活,because
78,攰,心情,because
79,死,自殘,because
80,好睏,返學,because
81,死,訓覺,because
82,好睏,病,because
83,處理,屋企,because
84,好睏,好煩,because
85,處理,唔開心,because
86,朋友,分享,because
87,工作,屋企人,because
88,舒服,處理,because
89,明白,同事,because
90,同事,相處,because
91,廢,失敗,because
92,攰,失眠,because
93,相處,介意,because
94,壓力,廢,because
95,壓力,通宵,because
96,唔開心,朋友,because
97,壓力,罵,because
98,迷惘,討厭,because
99,壓力,好亂,because
100,壓力,同事,because
101,消失,對唔住,because
102,生活,老細,because
103,世界,新聞,because
104,明白,家人,because
105,壓力,尷尬,because
106,成績,考試,because
107,明白,分享,because
108,分享,陪住,because
109,攰,忙,because
110,壓力,女仔,because
111,明白,傷害,because
112,攰,分手,because
113,生活,批評,because
114,傷害,介意,because
115,壓力,介意,because
116,壓力,世界,because
117,處理,朋友,because
118,介意,朋友,because
119,男仔,拒絕,because
120,解決,問題,because
121,對話,情緒,because
122,分手,以為,because
123,明白,傾到,because
124,分手,忙,because
125,分手,問題,because
126,心情,心事,because
127,分手,相處,because
128,對話,朋友,because
129,困擾,情緒,because
130,對話,問題,because
131,分手,明白,because
132,分手,學校,because
133,擔心,困擾,because
134,分手,公司,because
135,不想,累,because
136,不想,以為,because
137,擔心,離開,because
138,擔心,困擾,because
139,知道,對話,because
140,知道,電話,because
141,心情,問題,because
142,不想,無信心,because
143,不想,同事,because
144,擔心,生活,because
145,累,對唔住,because
146,電話,朋友,because
147,分手,媽媽,because
148,電話,情緒,because
149,心情,冇事,because
150,心情,屋企人,because
151,傾下,困擾,because
152,生活,難,because
153,身邊,離開,because
154,擔心,身邊,because
155,好難,傷害,because
156,心事,難,because
157,心事,學校,because
158,心情,適應,because
159,傾下,唔開心,because
160,知道,同事,because
161,唔開心,難,because
162,無信心,無用,because
163,傾下,傷害,because
164,聯絡,掛住,because
165,離開,擔心,because
166,擔心,難,because
167,好難,失敗,because
168,分手,放低,because
169,心情,男人,because
170,分享,陪住,because
171,鍾意,男朋友,because
172,電話,擔心,because
173,唔開心,傷害,because
174,心情,意義,because
175,知道,病,because
176,知道,傾下,because
177,心情,無錯,because
178,無錯,以為,because
179,放鬆,放假,because
180,心情,女朋友,because
181,心情,無聊,because
182,介意,外展,because
183,介意,好難,because
184,介意,尷尬,because
185,離開,屋企,because
186,離開,朋友,because
187,介意,意義,because
188,開心,玩,because
189,世界,愛,because
190,分享,機構,because
191,愛,對唔住,because
192,離開,問題,because
193,世界,中學,because
194,介意,以為,because
195,以為,家,because
196,好睏,失眠,because
197,以為,男朋友,because
198,冇用,考試,because
199,以為,世界,because
200,工作,生活,because
201,以為,中學,because
202,介意,問題,because
203,以為,忘記,because
204,以為,男仔,because
205,世界,精神,because
206,以為,學,because
207,分手,憎,because
208,冇事,屋企人,because
209,心情,尷尬,because
210,放棄,諗,because
211,擔心,屋企,because
212,不想,病,because
213,心情,罵,because
214,知道,對話,because
215,擔心,朋友,because
216,擔心,學校,because
217,擔心,讀書,because
218,擔心,難,because
219,不安,中學,because
220,不安,同事,because
221,擔心,同事,because
222,擔心,傷害,because
223,不安,地方,because
224,冇事,介意,because
225,冇事,死,because
226,生命,無用,because
227,無用,工作,because
228,冇事,學校,because
229,心情,老公,because
230,冇事,情緒,because
231,擔心,介意,because
232,冇事,醫生,because
233,心情,孤獨,because
234,心情,分手,because
235,心情,掛住,because
236,死,好煩,because
237,攰,焦慮,because
238,開心,支援,because
239,開心,同事,because
240,自殺,抑鬱症,because
241,開心,食飯,because
242,開心,鐘意,because
243,開心,順利,because
244,自殺,老師,because
245,無力,絕望,because
246,煩惱,負面,because
247,開心,姑娘,because
248,自殺,緊張,because
249,開心,傾計,because
250,開心,傾完,because
251,開心,上堂,because
252,開心,世界,because
253,壓力,大學,because
254,辛苦,報警,because
255,壓力,適應,because
256,頭痛,情緒,because
257,辛苦,頭痛,because
258,開心,愛,because
259,開心,實習,because
260,開心,收工,because
261,開心,加油,because
262,開心,返到,because
263,開心,活動,because
264,開心,小朋友,because
265,死,朋友,because
266,死,家人,because
267,難,失敗,because
268,死,難,because
269,自殺,冇用,because
270,自殺,感到傷害,because
271,讀書,唔記得,because
272,開心,合格,because
273,自殺,男朋友,because
274,自殺,同事,because
275,讀書,喜歡,because
276,開心,以為,because
277,自殺,家,because
278,開心,家,because
279,開心,放低,because
280,玩,講下,because
281,開心,人際關係,because
282,開心,無錯,because
283,好睏,亂,because
284,好難,累,because
285,自殺,好難,because
286,開心,喜歡,because
287,開心,中學,because
288,開心,男朋友,because
289,死,讀書,because
290,開心,爸,because
291,開心,忘記,because
292,轉介,社工,because
293,辛苦,轉介,because
294,壓力,攰,because
295,辛苦,忙,because
296,分享,唔開心,because
297,分享,開心,because
298,唔開心,朋友,because
299,辛苦,持續,because
300,唔開心,學校,because
301,唔開心,傷害,because
302,適應,病,because
303,辛苦,大學,because
304,唔開心,家,because
305,唔開心,傾計,because
306,辛苦,適應,because
307,唔開心,開心,because
308,醫院,食藥,because
309,唔開心,同事,because
310,辛苦,醫生,because
311,辛苦,屋企人,because
312,適應,忙,because
313,辛苦,返工,because
314,唔開心,地方,because
315,難,朋友,because
316,壓力,工作,because
317,適應,中學,because
318,開心,無事,because
319,辛苦,罵,because
320,辛苦,番學,because
321,開心,手機,because
322,壓力,醫生,because
323,開心,好返,because
324,適應,大學,because
325,壓力,香港,because
326,朋友,針對,because
327,辛苦,人際關係,because
328,適應,舒服,because
329,拍拖,第三者,because
330,問題,學校,because
331,問題,家人,because
332,辛苦,分手,because
333,適應,屋企,because
334,問題,傷害,because
335,適應,朋友,because
336,辛苦,爸爸媽媽,because
337,適應,同事,because
338,辛苦,媽媽,because
339,壓力,屋企人,because
340,辛苦,失敗,because
341,開心,出路,because
342,壓力,麻煩,because
343,同事,相處,because
344,休息,傾到,because
345,點算,拍拖,because
346,死,病,because
347,死,焦慮,because
348,死,失眠,because
349,讀書,世界,because
350,擔心,困擾,because
351,死,男朋友,because
352,死,同事,because
353,點算,好難,because
354,死,好睏,because
355,死,負面,because
356,好難,煩惱,because
357,死,罵,because
358,屋企,唔開心,because
359,死,感情,because
360,煩惱,傷害,because
361,壓力,朋友,because
362,點算,鐘意,because
363,點算,好煩,because
364,壓力,人生,because
365,點算,累,because
366,死,孤獨,because
367,原因,問題,because
368,壓力,擔心,because
369,點算,考試,because
370,原因,分享,because
371,壓力,生活,because
372,壓力,心事,because
373,原因,朋友,because
374,原因,唔開心,because
375,死,世界亂,because
376,死,冇用,because
377,跳樓,空中飛人,equal
378,地方,家,equal
379,家人,家,equal
380,冇用,無用,equal
381,爸爸媽媽,父母,equal
382,緊張,不安,equal
383,精神病,焦慮症,equal
384,對不起,對唔住,equal
385,精神病,抑鬱症,equal
386,自殺,解脱,equal
387,媽媽,爸爸,equal
388,爸爸,姐姐,equal
389,我媽,媽媽,equal
390,持續,好耐,equal
391,男朋友,男友,equal
392,喜歡,鐘意,equal
393,冇事,無事,equal
394,自殺,死,equal
395,困擾,舒服,equal
396,屋企人,媽媽,equal
397,冇用,無用,equal
398,家人,屋企人,equal
399,無用,垃圾,equal
400,無用,冇用,equal
401,擔心,問題,equal
402,介意,鍾意,equal
403,解脱,放棄,equal
404,屋企,家,equal
405,離開,自殺,equal
406,垃圾,廢,equal
407,讀書,學業,equal
408,做人,生命,equal
409,生命,生存,equal
410,社工,外展,equal
411,屋企人,家人,equal
412,中學,返學,equal
413,精神病,思覺失調,equal
414,好睏,好累,equal
415,overdose,overdosage,equal
416,男朋友,男友,equal
417,喜歡,鍾意,equal
418,屋企人,屋企,equal
419,累,好睏,equal
420,攰,累,equal
421,女朋友,女友,equal
422,男朋友,男友,equal
423,感情,緊張,equal
424,朋友,男朋友,equal
425,冇事,無事,equal
426,精神病,躁鬱症,equal
427,死,無事,equal
428,介意,死,equal
429,男朋友,男友,equal
430,回覆,唔開心,equal
431,有信心,自信,equal
432,家人,屋企,equal
433,唔緊要,屋企,equal
434,人生,休息,equal
435,人生,穩定,equal
436,不安,好煩,equal
437,頂唔順,絕望,equal
438,人生,屋企,equal
439,屋企,家,equal
440,無用,may relate to,equal
441,冇用,無用,equal
442,屋企,家,equal
443,人生,朋友,equal
444,屋企,家,equal
445,返工,工作,equal
446,不安,愛,equal
447,媽媽,我媽,equal
448,死,生存,equal
449,返學,番學,equal
450,上堂,返學,equal
451,屋企,家,equal
452,返工,工作,equal
453,媽媽,我媽,equal
454,爸爸媽媽,爸媽,equal
455,忙,好忙,equal
456,好煩,麻煩,equal
457,攰,累,equal
458,累,好睏,equal
459,屋企,家,equal
460,無事,冇事,equal
461,眼訓,好睏,equal
462,對不起,對唔住,equal
463,爸爸媽媽,爸媽,equal
464,屋企人,家人,equal
465,攰,温書,equal
466,不安,病,equal
467,老板,老細,equal
468,媽媽,我媽,equal
469,人生,學校,equal
470,唔開心,情緒,equal
471,解脱,消失,equal
472,人生,生命,equal
473,冇用,無用,equal
474,屋企,家,equal
475,諗,想,equal
476,媽媽,我媽,equal
477,累,好睏,equal
478,我媽,阿媽,equal
479,生存,生命,equal
480,我媽,媽媽,equal
481,絕望,崩潰,equal
482,讀書,上堂,equal
483,冇事,朋友,equal
484,屋企人,屋企,equal
485,時間,舒服,equal
486,難,好難,equal
487,唔開心,擔心,equal
488,攰,介意,equal
489,死,有信心,equal
490,屋企,家,equal
491,唔開心,低落,equal
492,無用,廢,equal
493,分手,不想,equal
494,死,跳樓,equal
495,分手,失戀,equal
496,不想,喜歡,equal
497,難,好難,equal
498,好睏,累,equal
499,自殺,死,equal
500,傾下,講下,equal
501,適應,休息,lead
502,適應,擔心,lead
503,適應,玩,lead
504,心情,放低,lead
505,知道,介意,lead
506,心情,同事,lead
507,適應,難,lead
508,心情,冇用,lead
509,問題,無事,lead
510,讀書,傾計,lead
511,適應,開心,lead
512,知道,好難,lead
513,點算,同事,lead
514,知道,以為,lead
515,知道,多謝,lead
516,知道,機會,lead
517,心情,放棄,lead
518,知道,試下,lead
519,適應,傷害,lead
520,適應,介意,lead
521,知道,準備,lead
522,醫生,胃口,lead
523,傾過,明白,lead
524,明白,多謝,lead
525,傾下,擔心,lead
526,好睏,傾計,lead
527,好睏,唔記得,lead
528,適應,信心,lead
529,傾下,舒服,lead
530,放工,忙,lead
531,冇事,忙,lead
532,好睏,負面,lead
533,知道,緊張,lead
534,好睏,點算,lead
535,讀書,忙,lead
536,心情,傾下,lead
537,心情,傷害,lead
538,適應,傾計,lead
539,崩潰,絕望,lead
540,知道,擔心,lead
541,寂寞,自殘,lead
542,麻煩,無力,lead
543,好睏,不安,lead
544,壓力,心情,lead
545,壓力,緊張,lead
546,心情,放假,lead
547,玩,開心,lead
548,知道,明白,lead
549,對唔住,消失,lead
550,食藥,累,lead
551,自殺,念頭,lead
552,適應,處理,lead
553,低落,灰,lead
554,情緒,低落,lead
555,唔開心,情緒,lead
556,失敗,唔開心,lead
557,點算,唔記得,lead
558,心情,離開,lead
559,知道,處理,lead
560,知道,唔開心,lead
561,知道,明白,lead
562,醫生,休息,lead
563,生存,討厭,lead
564,時間,機會,lead
565,讀書,食飯,lead
566,讀書,外國,lead
567,壓力,加油,lead
568,讀書,點講,lead
569,壓力,無事,lead
570,緊張,好煩,lead
571,生存,緊張,lead
572,壓力,情緒,lead
573,陪住,開心,lead
574,時間,處理,lead
575,壓力,頂唔順,lead
576,讀書,亂,lead
577,開心,解決,lead
578,壓力,頭痛,lead
579,壓力,支援,lead
580,時間,諗,lead
581,壓力,好差,lead
582,生存,意義,lead
583,壓力,好睏,lead
584,讀書,好差,lead
585,失敗,自殺,lead
586,開心,自信,lead
587,失敗,唔開心,lead
588,時間,擔心,lead
589,生活,忙,lead
590,讀書,生命,lead
591,讀書,順利,lead
592,讀書,自信,lead
593,壓力,不安,lead
594,壓力,心痛,lead
595,壓力,對唔住,lead
596,讀書,起身,lead
597,讀書,好睏,lead
598,相處,開心,lead
599,讀書,失眠,lead
600,不安,心痛,lead
601,壓力,絕望,lead
602,壓力,睡,lead
603,點算,自殺,lead
604,失敗,分享,lead
605,世界,無力,lead
606,唔緊要,唔開心,lead
607,讀書,放低,lead
608,讀書,出路,lead
609,好差,廢,lead
610,讀書,支援,lead
611,返工,時間,lead
612,返工,唔開心,lead
613,讀書,頂唔順,lead
614,讀書,點算,lead
615,讀書,開心,lead
616,返工,朋友,lead
617,返工,情緒,lead
618,問題,點算,lead
619,以為,精神,lead
620,生活,精神,lead
621,時間,同事,lead
622,醫生,傾下,lead
623,傾下,知道,lead
624,點算,負面,lead
625,世界,無力,lead
626,讀書,精神,lead
627,世界,好睏,lead
628,拒絕,孤獨,lead
629,壓力,幫助,lead
630,點算,點好,lead
631,點算,點講,lead
632,適應,唔開心,lead
633,壓力,唔開心,lead
634,香港,擔心,lead
635,壓力,無動力,lead
636,訓覺,惡夢,lead
637,好睏,訓覺,lead
638,唔開心,死,lead
639,頂唔順,累,lead
640,醫生,舒服,lead
641,生活,無事,lead
642,打電話,頭痛,lead
643,心情,打電話,lead
644,心情,好差,lead
645,心情,心痛,lead
646,舒服,朋友,lead
647,醫生,生活,lead
648,心情,生命,lead
649,回覆,知道,lead
650,壓力,無/冇休息,lead
651,問題,舒服,lead
652,時間,忙,lead
653,壓力,放棄,lead
654,負面,崩潰,lead
655,以為,討厭,lead
656,以為,心痛,lead
657,開心,想見,lead
658,精神,病,lead
659,工作,朋友,lead
660,不安,無力,lead
661,朋友,明白,lead
662,明白,分享,lead
663,以為,好睏,lead
664,香港,朋友,lead
665,壓力,中意,lead
666,分享,困擾,lead
667,以為,好差,lead
668,工作,情緒,lead
669,以為,放低,lead
670,消失,生命,lead
671,絕望,消失,lead
672,世界,絕望,lead
673,屋企人,唔開心,lead
674,世界,忘記,lead
675,壓力,點算,lead
676,生活,放鬆,lead
677,壓力,無胃口,lead
678,生活,放低,lead
679,點算,意見,lead
680,辛苦,壓力,lead
681,傾下,處理,lead
682,相處,傷害,lead
683,相處,傷害,lead
684,困擾,處理,lead
685,好耐,明白,lead
686,好耐,諗,lead
687,好耐,唔開心,lead
688,人生,意義,lead
689,明白,舒服,lead
690,多謝,諗,lead
691,不安,累,lead
692,討厭,不安,lead
693,好煩,討厭,lead
694,人生,難,lead
695,傾過,明白,lead
696,情緒,明白,lead
697,情緒,舒服,lead
698,情緒,處理,lead
699,情緒,休息,lead
700,情緒,傾到,lead
701,時間,同事,lead
702,情緒,諗,lead
703,攰,放假,lead
704,攰,訓覺,lead
705,攰,絕望,lead
706,攰,眼訓,lead
707,攰,跳樓,lead
708,攰,陪住,lead
709,困擾,分享,lead
710,困擾,傾到,lead
711,介意,唔開心,lead
712,諗,明白,lead
713,擔心,分享,lead
714,冇事,分享,lead
715,擔心,死,lead
716,冇事,傷害,lead
717,冇事,擔心,lead
718,冇用,唔開心,lead
719,冇事,知道,lead
720,介意,焦慮,lead
721,離開,困擾,lead
722,離開,唔開心,lead
723,好煩,崩潰,lead
724,介意,好煩,lead
725,離開,情緒,lead
726,失眠,頭痛,lead
727,信心,開心,lead
728,離開,明白,lead
729,解決,同人講,lead
730,介意,解決,lead
731,介意,憎,lead
732,介意,緊張,lead
733,身邊,明白,lead
734,身邊,舒服,lead
735,介意,好睏,lead
736,身邊,處理,lead
737,考試,成績,lead
738,問題,難,lead
739,拍拖,心痛,lead
740,困擾,諗,lead
741,機構,意見,lead
742,明白,處理,lead
743,明白,聯絡,lead
744,亂,好難,lead
745,家,憎,lead
746,自殺,跳樓,lead
747,傾計,支援,lead
748,自殺,傾計,lead
749,辛苦,自殘,lead
750,惡夢,安眠藥,lead
751,焦慮,失眠,lead
752,辛苦,對不起,lead
753,困擾,好孤單,lead
754,孤獨,麻煩,lead
755,拒絕,孤獨,lead
756,相處,唔開心,lead
757,第三者,心痛,lead
758,憎,討厭,lead
759,好煩,好孤單,lead
760,問題,唔開心,lead
761,唔開心,分享,lead
762,低落,頂唔順,lead
763,問題,死,lead
764,辛苦,情緒,lead
765,垃圾,灰,lead
766,失敗,冇用,lead
767,難,唔開心,lead
768,辛苦,死,lead
769,家人,唔開心,lead
770,忙,攰,lead
771,朋友,傷害,lead
772,朋友,開心,lead
773,媽媽,好煩,lead
774,好煩,焦慮,lead
775,討厭,好煩,lead
776,憎,討厭,lead
777,困擾,亂,lead
778,攰,心事,lead
779,攰,煩惱,lead
780,攰,自殺,lead
781,攰,擔心,lead
782,攰,離開,lead
783,攰,冇用,lead
784,明白,鍾意,lead
785,鍾意,開心,lead
786,攰,學校,lead
787,攰,唔開心,lead
788,攰,放棄,lead
789,問題,開心,lead
790,同事,憎,lead
791,同學,唔開心,lead
792,處理,諗,lead
793,外展,報警,lead
794,覆診,外展,lead
795,死,入院,lead
796,原因,諗,lead
797,屋企,死,lead
798,諗,分享,lead
799,自殺,報警,lead
800,自殺,準備,lead
801,討厭,好煩,lead
802,憎,討厭,lead
803,拍拖,憎,lead
804,討厭,好煩,lead
805,處理,休息,lead
806,不安,點算,lead
807,分手,死,lead
808,不安,意見,lead
809,心事,朋友,lead
810,不想,支援,lead
811,自殺,世界,lead
812,分手,好難,lead
813,對話,明白,lead
814,心事,自殺,lead
815,緊張,累,lead
816,難,亂,lead
817,亂,不安,lead
818,對話,困擾,lead
819,分手,傷害,lead
820,傾下,休息,lead
821,心事,問題,lead
822,明白,舒服,lead
823,擔心,明白,lead
824,擔心,處理,lead
825,不想,玩,lead
826,傾下,諗,lead
827,分手,分享,lead
828,對話,唔開心,lead
829,電話,明白,lead
830,分手,同事,lead
831,分手,朋友,lead
832,心事,屋企,lead
833,分手,無機會,lead
834,分手,屋企,lead
835,傾下,開心,lead
836,電話,問題,lead
837,分手,聯絡,lead
838,分手,心痛,lead
839,分手,唔開心,lead
840,不安,支援,lead
841,心事,唔開心,lead
842,不想,唔開心,lead
843,電話,諗,lead
844,分手,無信心,lead
845,適應,幫助,lead
846,温書,工作,lead
847,心事,傾計,lead
848,對話,擔心,lead
849,唔開心,死,lead
850,不想,忘記,lead
851,分手,介意,lead
852,心事,忙,lead
853,不想,陪住,lead
854,分手,情緒,lead
855,擔心,休息,lead
856,擔心,傾到,lead
857,忙,温書,lead
858,傾到,多謝,lead
859,死,生存,opposite
860,壓力,自信,opposite
861,放鬆,好亂,opposite
862,死,放鬆,opposite
863,擔心,開心,opposite
864,緊張,放鬆,opposite
865,死,放低,opposite
866,死,生存,opposite
867,失敗,信心,opposite
868,喜歡,討厭,opposite
869,壓力,舒服,opposite
870,緊張,放鬆,opposite
871,心事,緊張,opposite
872,失落,開心,opposite
873,唔開心,開心,opposite
874,壓力,無錯,opposite
875,傷害,開心,opposite
876,攰,做人,opposite
877,不安,緊張,opposite
878,開心,垃圾,opposite
879,開心,恐怖,opposite
880,分手,喜歡,opposite
881,開心,拒絕,opposite
882,自信,唔開心,opposite
883,開心,孤獨,opposite
884,分手,點算,opposite
885,好睏,精神,opposite
886,生存,自殺,opposite
887,分手,忘記,opposite
888,合格,好煩,opposite
889,開心,罵,opposite
890,開心,亂,opposite
891,開心,焦慮,opposite
892,感到傷害,開心,opposite
893,攰,放鬆,opposite
894,麻煩,放鬆,opposite
895,唔開心,開心,opposite
896,自信,負面,opposite
897,開心,無力,opposite
898,放鬆,不安,opposite
899,開心,對唔住,opposite
900,開心,絕望,opposite
901,鐘意,憎,opposite
902,分手,拍拖,opposite
903,介意,放低,opposite
904,焦慮,放鬆,opposite
905,愛,討厭,opposite
906,問題,開心,opposite
907,工作,休息,opposite
908,開心,點算,opposite
909,開心,頂唔順,opposite
910,開心,成績,opposite
911,攰,動力,opposite
912,憎,愛,opposite
913,舒服,諗,opposite
914,適應,死,opposite
915,舒服,不安,opposite
916,舒服,唔開心,opposite
917,介意,信心,opposite
918,訓覺,失眠,opposite
919,累,精神,opposite
920,失眠,訓覺,opposite
921,適應,點算,opposite
922,舒服,唔開心,opposite
923,開心,尷尬,opposite
924,自殺,生存,opposite
925,心情,開心,opposite
926,鍾意,唔開心,opposite
927,讀書,玩,opposite
928,工作,舒服,opposite
929,攰,舒服,opposite
930,唔開心,開心,opposite
931,鍾意,問題,opposite
932,分享,唔開心,opposite
933,開心,冇用,opposite
934,唔開心,開心,opposite
935,開心,精神科,opposite
936,心情,信心,opposite
937,攰,冇事,opposite
938,舒服,介意,opposite
939,情緒,抑鬱,related
940,抑鬱,穩定,related
941,知道,地方,related
942,食藥,安眠藥,related
943,穩定,食藥,related
944,知道,鍾意,related
945,鍾意,愛,related
946,自殺,唔開心,related
947,地方,家,related
948,唔開心,問題,related
949,安眠藥,焦慮,related
950,屋企,問題,related
951,解決,自殺,related
952,屋企,相處,related
953,屋企,鍾意,related
954,原因,屋企,related
955,傾到,唔開心,related
956,分享,朋友,related
957,心事,好孤單,related
958,傾到,分享,related
959,屋企,難,related
960,傾到,問題,related
961,傾到,原因,related
962,休息,諗,related
963,休息,屋企,related
964,低落,失落,related
965,休息,唔開心,related
966,老師,讀書,related
967,諗,問題,related
968,傾到,屋企,related
969,焦慮,失眠,related
970,屋企,媽媽,related
971,屋企,試過,related
972,諗,解決,related
973,死,試過,related
974,地方,屋企,related
975,陪住,家,related
976,媽媽,陪住,related
977,失眠,訓覺,related
978,諗,媽媽,related
979,屋企,地方,related
980,諗,試過,related
981,煩惱,崩潰,related
982,諗,感情,related
983,諗,家人,related
984,諗,難,related
985,諗,死,related
986,放鬆,放假,related
987,諗,試下,related
988,麻煩,煩惱,related
989,家,學校,related
990,地方,自殺,related
991,離開,消失,related
992,爸媽,家人,related
993,家人,家,related
994,傾到,朋友,related
995,朋友,分享,related
996,家,媽媽,related
997,家人,家,related
998,相處,朋友,related
999,傾下,屋企,related
1000,屋企,相處,related
1001,相處,問題,related
1002,醫生,病,related
1003,病,精神科,related
1004,對話,傾過,related
1005,鍾意,朋友,related
1006,精神科,入院,related
1007,入院,醫院,related
1008,醫院,覆診,related
1009,覆診,護士,related
1010,精神,病,related
1011,傷害,難,related
1012,諗,精神,related
1013,屋企,爸爸媽媽,related
1014,困擾,好耐,related
1015,朋友,傾計,related
1016,同學,聯絡,related
1017,朋友,玩,related
1018,返工,老細,related
1019,老細,放工,related
1020,傾下,同學,related
1021,朋友,學校,related
1022,分享,朋友,related
1023,壓力,時間,related
1024,工作,見工,related
1025,同事,傾計,related
1026,問題,同事,related
1027,壓力,冇事,related
1028,解決,試過,related
1029,處理,問題,related
1030,屋企人,屋企,related
1031,地方,解決,related
1032,死,地方,related
1033,好耐,情緒,related
1034,傾下,生活,related
1035,電話,對話,related
1036,護士,抑鬱症,related
1037,同事,食飯,related
1038,諗,地方,related
1039,開心,愛,related
1040,冇用,自殺,related
1041,自殺,跳樓,related
1042,跳樓,死,related
