,SOURCE,TARGET,label_modified
1043,玩,開心,related
1044,諗,玩,related
1045,唔開心,問題,related
1046,傷害,唔開心,related
1047,諗,傷害,related
1048,諗,緊張,related
1049,好難,點算,related
1050,讀書,好難,related
1051,死,離開,related
1052,老師,讀書,related
1053,學校,老師,related
1054,諗,學校,related
1055,病,精神,related
1056,諗,朋友,related
1057,放棄,無用,related
1058,學校,老師,related
1059,上堂,考試,related
1060,返學,上堂,related
1061,諗,同事,related
1062,傾下,電話,related
1063,愛,鐘意,related
1064,男朋友,愛,related
1065,大學,同學,related
1066,同學,學生,related
1067,學生,學業,related
1068,學業,學校,related
1069,傾下,鍾意,related
1070,問題,點算,related
1071,學校,老師,related
1072,諗,男朋友,related
1073,自殺,準備,related
1074,講下,自殺,related
1075,讀書,温書,related
1076,温書,成績,related
1077,成績,中學,related
1078,諗,講下,related
1079,中學,返學,related
1080,自殺,迷惘,related
1081,老師,讀書,related
1082,知道,學校,related
1083,女仔,喜歡,related
1084,聯絡,朋友,related
1085,時間,朋友,related
1086,朋友,陪住,related
1087,情緒,問題,related
1088,陪住,玩,related
1089,玩,鍾意,related
1090,鍾意,感情,related
1091,離開,舒服,related
1092,時間,好難,related
1093,時間,傷害,related
1094,分享,感情,related
1095,時間,介意,related
1096,時間,相處,related
1097,身邊,問題,related
1098,朋友,開心,related
1099,屋企人,屋企,related
1100,身邊,朋友,related
1101,家,相處,related
1102,屋企,家,related
1103,身邊,屋企,related
1104,身邊,分享,related
1105,知道,離開,related
1106,媽媽,分享,related
1107,舒服,死,related
1108,家,媽媽,related
1109,機會,傾到,related
1110,機會,舒服,related
1111,機會,諗,related
1112,舒服,休息,related
1113,同學,聯絡,related
1114,休息,開心,related
1115,知道,同學,related
1116,時間,同學,related
1117,同學,學校,related
1118,學校,讀書,related
1119,情緒,問題,related
1120,多謝,朋友,related
1121,處理,解決,related
1122,多謝,屋企,related
1123,時間,死,related
1124,知道,好耐,related
1125,多謝,唔開心,related
1126,時間,家人,related
1127,死,自殺,related
1128,家人,屋企,related
1129,屋企,家,related
1130,難,試過,related
1131,機會,唔開心,related
1132,諗,難,related
1133,身邊,死,related
1134,醫生,擔心,related
1135,同事,相處,related
1136,學校,家,related
1137,地方,學校,related
1138,擔心,地方,related
1139,試過,試下,related
1140,醫生,情緒,related
1141,情緒,唔開心,related
1142,擔心,唔開心,related
1143,相處,陪住,related
1144,死,試過,related
1145,家人,媽媽,related
1146,學校,同學,related
1147,唔開心,擔心,related
1148,擔心,問題,related
1149,擔心,緊張,related
1150,傾過,傾計,related
1151,講下,傾過,related
1152,回覆,傾下,related
1153,休息,屋企,related
1154,家,家人,related
1155,離開,身邊,related
1156,放棄,知道,related
1157,擔心,原因,related
1158,身邊,傾到,related
1159,身邊,生活,related
1160,離開,身邊,related
1161,情緒,問題,related
1162,問題,擔心,related
1163,工作,同事,related
1164,困擾,情緒,related
1165,情緒,好耐,related
1166,傾下,傾過,related
1167,困擾,情緒,related
1168,屋企人,死,related
1169,屋企人,知道,related
1170,知道,明白,related
1171,屋企人,生活,related
1172,唔開心,情緒,related
1173,情緒,擔心,related
1174,身邊,困擾,related
1175,離開,諗,related
1176,屋企人,朋友,related
1177,朋友,傾下,related
1178,傾下,問題,related
1179,死,諗,related
1180,聯絡,諗,related
1181,身邊,離開,related
1182,唔開心,緊張,related
1183,男友,拍拖,related
1184,拍拖,保密,related
1185,保密,分手,related
1186,分手,女朋友,related
1187,家人,屋企,related
1188,朋友,陪住,related
1189,知道,朋友,related
1190,試過,唔開心,related
1191,難,試過,related
1192,朋友,相處,related
1193,諗,難,related
1194,死,諗,related
1195,明白,死,related
1196,罵,批評,related
1197,傾下,同事,related
1198,好差,垃圾,related
1199,明白,原因,related
1200,支援,意見,related
1201,意見,幫忙,related
1202,明白,傾到,related
1203,好煩,迷惘,related
1204,明白,學校,related
1205,鍾意,男朋友,related
1206,喜歡,鍾意,related
1207,出去,諗,related
1208,分享,問題,related
1209,朋友,感情,related
1210,朋友,分享,related
1211,感情,人際關係,related
1212,家,學校,related
1213,同學,學校,related
1214,同學,朋友,related
1215,陪住,玩,related
1216,分享,問題,related
1217,難,好難,related
1218,唔開心,死,related
1219,諗,死,related
1220,人際關係,拒絕,related
1221,孤獨,寂寞,related
1222,同事,傾計,related
1223,講下,傾計,related
1224,介意,問題,related
1225,死,屋企,related
1226,地方,死,related
1227,學校,地方,related
1228,明白,休息,related
1229,時間,身邊,related
1230,頂唔順,負面,related
1231,陪住,相處,related
1232,傾過,諗,related
1233,情緒,問題,related
1234,講下,傾計,related
1235,時間,屋企人,related
1236,時間,醫生,related
1237,時間,傾下,related
1238,傾下,電話,related
1239,電話,對話,related
1240,對話,傾過,related
1241,傾計,講過,related
1242,朋友,明白,related
1243,傾到,講下,related
1244,講下,講過,related
1245,聯絡,講下,related
1246,講過,傾計,related
1247,傾計,明白,related
1248,唔開心,問題,related
1249,擔心,困擾,related
1250,困擾,情緒,related
1251,情緒,唔開心,related
1252,傾過,傾到,related
1253,處理,解決,related
1254,情緒,唔開心,related
1255,家,家人,related
1256,屋企,陪住,related
1257,生活,屋企,related
1258,失敗,灰,related
1259,感情,生活,related
1260,學校,地方,related
1261,媽媽,感情,related
1262,絕望,無力,related
1263,試過,舒服,related
1264,無力,自殘,related
1265,家人,媽媽,related
1266,死,試過,related
1267,諗,死,related
1268,睡,眼訓,related
1269,眼訓,惡夢,related
1270,唔開心,情緒,related
1271,屋企,擔心,related
1272,開心,傾計,related
1273,朋友,傾下,related
1274,分享,開心,related
1275,傾下,擔心,related
1276,知道,家人,related
1277,明白,生活,related
1278,朋友,分享,related
1279,媽媽,家人,related
1280,適應,緊張,related
1281,人生,同事,related
1282,介意,心痛,related
1283,鐘意,介意,related
1284,感情,鐘意,related
1285,拍拖,感情,related
1286,男朋友,拍拖,related
1287,人生,男朋友,related
1288,同事,公司,related
1289,意義,生命,related
1290,人生,以為,related
1291,失敗,好差,related
1292,冇用,失敗,related
1293,人生,冇用,related
1294,開心,信心,related
1295,玩,開心,related
1296,人生,玩,related
1297,以為,點算,related
1298,傷害,負面,related
1299,公司,返工,related
1300,媽媽,相處,related
1301,難,拒絕,related
1302,心痛,掛住,related
1303,感情,拍拖,related
1304,鐘意,感情,related
1305,愛,鐘意,related
1306,男仔,愛,related
1307,男友,男仔,related
1308,返工,同事,related
1309,生存,對唔住,related
1310,唔開心,亂,related
1311,愛,鐘意,related
1312,家,愛,related
1313,傷害,家,related
1314,老公,相處,related
1315,愛,鐘意,related
1316,傷害,愛,related
1317,死,自殺,related
1318,介意,學校,related
1319,人生,傷害,related
1320,問題,亂,related
1321,媽媽,愛,related
1322,家人,媽媽,related
1323,人生,唔開心,related
1324,人生,幫助,related
1325,人生,食藥,related
1326,人生,生活,related
1327,抑鬱,抑鬱症,related
1328,朋友,傾計,related
1329,絕望,崩潰,related
1330,攰,入院,related
1331,攰,好煩,related
1332,憎,傷害,related
1333,攰,憎,related
1334,討厭,食藥,related
1335,陪住,姑娘,related
1336,頭痛,病,related
1337,好睏,安眠藥,related
1338,亂,好煩,related
1339,傾計,分享,related
1340,男仔,愛,related
1341,煩惱,問題,related
1342,人生,煩惱,related
1343,陪住,支援,related
1344,幫到,陪住,related
1345,人生,幫到,related
1346,解決,絕望,related
1347,生存,解決,related
1348,分享,男仔,related
1349,人生,自殺,related
1350,功課,忙,related
1351,中學,功課,related
1352,返學,中學,related
1353,成績,返學,related
1354,讀書,成績,related
1355,老師,讀書,related
1356,學校,老師,related
1357,忙,學,related
1358,中學,讀書,related
1359,讀書,返學,related
1360,返學,好差,related
1361,媽媽,家人,related
1362,煩惱,緊張,related
1363,情緒,好煩,related
1364,分手,愛,related
1365,分手,講下,related
1366,分手,地方,related
1367,分手,感情,related
1368,男朋友,男仔,related
1369,分手,舒服,related
1370,家人,媽媽,related
1371,家,家人,related
1372,地方,家,related
1373,不想,地方,related
1374,不想,傷害,related
1375,無信心,不/ 唔開心,related
1376,好難,感情,related
1377,不想,解決,related
1378,意見,幫到,related
1379,男仔,男友,related
1380,拍拖,開心,related
1381,工作,失落,related
1382,心情,工作,related
1383,心情,時間,related
1384,家人,拍拖,related
1385,感情,家人,related
1386,心事,感情,related
1387,心事,玩,related
1388,放低,意見,related
1389,學校,讀書,related
1390,家,媽媽,related
1391,屋企,家人,related
1392,心事,原因,related
1393,分手,試過,related
1394,同學,陪住,related
1395,同事,同學,related
1396,死,自殺,related
1397,緊張,麻煩,related
1398,傾計,意見,related
1399,朋友,傾計,related
1400,陪住,朋友,related
1401,屋企,媽媽,related
1402,上堂,實習,related
1403,姑娘,傾計,related
1404,外展,姑娘,related
1405,家人,複雜,related
1406,好難,家人,related
1407,負面,精神科,related
1408,媽媽,身邊,related
1409,介意,負面,related
1410,陪住,分享,related
1411,想講,陪住,related
1412,同人講,想講,related
1413,失眠,無力,related
1414,功課,老師,related
1415,成績,功課,related
1416,好差,冇用,related
1417,意義,生命,related
1418,醫生,病,related
1419,情緒,問題,related
1420,冇事,冇用,related
1421,喜歡,愛,related
1422,病,精神,related
1423,學校,讀書,related
1424,中學,學校,related
1425,老師,中學,related
1426,不想,老師,related
1427,試過,準備,related
1428,生存,試過,related
1429,自殺,生存,related
1430,死,自殺,related
1431,不想,死,related
1432,病,精神,related
1433,愛,喜歡,related
1434,分享,傾計,related
1435,地方,舒服,related
1436,離開,地方,related
1437,死,離開,related
1438,灰,迷惘,related
1439,屋企人,放工,related
1440,好難,無力,related
1441,失落,負面,related
1442,中學,功課,related
1443,返學,中學,related
1444,考試,返學,related
1445,成績,考試,related
1446,讀書,成績,related
1447,老師,讀書,related
1448,負面,無力,related
1449,抑鬱症,精神科,related
1450,緊張,煩惱,related
1451,傷害,介手,related
1452,自殘,傷害,related
1453,報警,警察,related
1454,情緒,煩惱,related
1455,訓覺,惡夢,related
1456,失眠,訓覺,related
1457,抑鬱,焦慮,related
1458,介手,overdose,related
1459,抑鬱症,抑鬱,related
1460,精神科,入院,related
1461,心理學家,病,related
1462,老師,中學,related
1463,學校,老師,related
1464,好差,學校,related
1465,讀書,好差,related
1466,失敗,唔開心,related
1467,自殺,自殘,related
1468,感到傷害,不安,related
1469,入院,心理學家,related
1470,好煩,心痛,related
1471,男朋友,男仔,related
1472,好煩,心痛,related
1473,跳樓,燒炭,related
1474,自殺,玩,related
1475,亂,唔知點算,related
1476,支援,愛,related
1477,病,覆診,related
1478,男仔,拍拖,related
1479,中學,返學,related
1480,精神科,抑鬱症,related
1481,罵,批評,related
1482,狀況,身邊,related
1483,病情,狀況,related
1484,食藥,病情,related
1485,好耐,食藥,related
1486,升學,DSE,related
1487,大學,升學,related
1488,升學,緊張,related
1489,外展,精神健康綜合社區中心,related
1490,工作,升學,related
1491,食藥,擔心,related
1492,入院,醫院,related
1493,覆診,入院,related
1494,醫生,覆診,related
1495,同事,老板,related
1496,公司,同事,related
1497,工作,公司,related
1498,適應,工作,related
1499,辛苦,精神科,related
1500,死,離開,related
1501,生存,意義,related
1502,麻煩,困擾,related
1503,針對,拒絕,related
1504,人際關係,朋友,related
1505,老婆,拍拖,related
1506,女朋友,老婆,related
1507,男朋友,女朋友,related
1508,分手,男朋友,related
1509,放棄,做人,related
1510,爸爸,媽媽,related
1511,討厭,無力,related
1512,絕望,討厭,related
1513,情緒,唔開心,related
1514,憎,崩潰,related
1515,灰,憎,related
1516,廢,垃圾,related
1517,意義,跳樓,related
1518,父母,爸爸,related
1519,返學,考試,related
1520,考試,成績,related
1521,成績,功課,related
1522,返學,中學,related
1523,讀書,返學,related
1524,學校,讀書,related
1525,放棄,解決,related
1526,攰,持續,related
1527,同學,實習,related
1528,老師,同學,related
1529,中學,功課,related
1530,大學,老師,related
1531,攰,適應,related
1532,攰,放工,related
1533,攰,醫生,related
1534,攰,香港,related
1535,爸爸媽媽,爸,related
1536,我媽,爸爸媽媽,related
1537,家,媽媽,related
1538,適應,大學,related
1539,攰,屋企人,related
1540,功課,成績,related
1541,學業,考試,related
1542,煩惱,低落,related
1543,男仔,女仔,related
1544,朋友,男仔,related
1545,相處,朋友,related
1546,攰,相處,related
1547,死,消失,related
1548,攰,老公,related
1549,成績,學業,related
1550,無用,廢,related
1551,攰,心痛,related
1552,中意,拍拖,related
1553,男朋友,中意,related
1554,女朋友,男朋友,related
1555,相處,女朋友,related
1556,感情,相處,related
1557,分手,感情,related
1558,忙,公司,related
1559,工作,同事,related
1560,攰,工作,related
1561,攰,時間,related
1562,不安,失落,related
1563,死,緊張,related
1564,感情,鐘意,related
1565,拍拖,感情,related
1566,男友,拍拖,related
1567,死,解決,related
1568,複雜,煩惱,related
1569,低落,頂唔順,related
1570,死,複雜,related
1571,同人講,玩,related
1572,講下,同人講,related
1573,念頭,講下,related
1574,死,念頭,related
1575,累,無力,related
1576,温書,上堂,related
1577,功課,温書,related
1578,死,地方,related
1579,死,感到傷害,related
1580,死,恐怖,related
1581,死,殺,related
1582,訓覺,失眠,related
1583,死,生命好難,related
1584,死,負能量,related
1585,支援,警察,related
1586,緊急,支援,related
1587,死,緊急,related
1588,心痛,討厭,related
1589,灰,心痛,related
1590,好煩,灰,related
1591,報警,心理學家,related
1592,姑娘,覆診,related
1593,入院,姑娘,related
1594,崩潰,對唔住,related
1595,消失,絕望,related
1596,自殺,解脱,related
1597,死,自殺,related
1598,焦慮,頭痛,related
1599,心事,困擾,related
1600,心情,動力,related
1601,朋友,分享,related
1602,學校,老師,related
1603,廢,冇用,related
1604,失敗,好差,related
1605,生活,意義,related
1606,垃圾,負面,related
1607,掛住,相處,related
1608,家人,掛住,related
1609,冇用,垃圾,related
1610,朋友,同事,related
1611,爸爸媽媽,爸,related
1612,家,爸爸媽媽,related
1613,屋企,家,related
1614,負面,廢,related
1615,生活,屋企,related
1616,生活,難,related
1617,爸,我媽,related
1618,生活,死,related
1619,垃圾,討厭,related
1620,負面,絕望,related
1621,心痛,失落,related
1622,不安,心痛,related
1623,好煩,不安,related
1624,煩惱,好煩,related
1625,複雜,煩惱,related
1626,生活,複雜,related
1627,討厭,負面,related
1628,絕望,頂唔順,related
1629,跳樓,對不起,related
1630,自殺,跳樓,related
1631,解決,問題,related
1632,生活,解決,related
1633,低落,頭痛,related
1634,絕望,低落,related
1635,對唔住,絕望,related
1636,支援,負面,related
1637,相處,面對面,related
1638,老公,相處,related
1639,愛,鐘意,related
1640,好難,累,related
1641,中學,老師,related
1642,讀書,中學,related
1643,學校,讀書,related
1644,生存,學校,related
1645,生存,病,related
1646,生存,唔開心,related
1647,玩,同事,related
1648,傾計,玩,related
1649,朋友,傾計,related
1650,媽媽,感情,related
1651,家,媽媽,related
1652,家人,家,related
1653,生存,信心,related
1654,病,精神,related
1655,討厭,負面,related
1656,生活,休息,related
1657,生活,老公,related
1658,生活,介意,related
1659,生活,轉介,related
1660,無人,鍾意,related
1661,生活,無人,related
1662,生活,方便,related
1663,心情,香港,related
1664,生活,麻麻,related
1665,恐怖,負面,related
1666,生活,幫助,related
1667,傾到,心事,related
1668,生活,傾到,related
1669,穩定,食藥,related
1670,生活,穩定,related
1671,拒絕,負面,related
1672,失落,累,related
1673,生存,難,related
1674,累,亂,related
1675,迷惘,灰,related
1676,傾計,食飯,related
1677,返學,中學,related
1678,好睏,精神,related
1679,低落,頭痛,related
1680,失眠,低落,related
1681,食藥/葯,訓覺,related
1682,同事,食飯,related
1683,累,食藥/葯,related
1684,生活,好睏,related
1685,生活,憎,related
1686,生活,好奇,related
1687,生活,好孤單,related
1688,老細,傷害,related
1689,放鬆,放假,related
1690,讀書,功課,related
1691,上堂,中學,related
1692,考試,返學,related
1693,讀書,實習,related
1694,精神科,病,related
1695,精神,精神科,related
1696,讀書,英文,related
1697,讀書,憎,related
1698,無力,不安,related
1699,冇用,垃圾,related
1700,返學,功課,related
1701,成績,冇用,related
1702,討厭,憎,related
1703,負面,討厭,related
1704,點算,精神,related
1705,憎,討厭,related
1706,拍拖,男仔,related
1707,功課,温書,related
1708,好差,成績,related
1709,焦慮,抑鬱症,related
1710,覆診,焦慮,related
1711,精神科,覆診,related
1712,喜歡,愛,related
1713,鐘意,喜歡,related
1714,男仔,鐘意,related
1715,男朋友,男仔,related
1716,男友,男朋友,related
1717,生活,男友,related
1718,開心,累,related
1719,支援,意見,related
1720,同事,傾計,related
1721,朋友,同事,related
1722,累,好睏,related
1723,生活,信心,related
1724,生活,陪住,related
1725,灰,崩潰,related
1726,傾計,支援,related
1727,愛,拍拖,related
1728,拍拖,感情,related
1729,中學,返學,related
1730,入院,精神科,related
1731,姑娘,入院,related
1732,病,姑娘,related
1733,讀書,拍拖,related
1734,温書,實習,related
1735,功課,温書,related
1736,返學,功課,related
1737,考試,返學,related
1738,老師,成績,related
1739,中學,老師,related
1740,讀書,中學,related
1741,讀書,手機,related
1742,學校,讀書,related
1743,生活,學校,related
1744,感情,掛住,related
1745,亂,迷惘,related
1746,讀書,返學,related
1747,同事,傾計,related
1748,自殺,地方,related
1749,心情,感情,related
1750,跳樓,食藥,related
1751,念頭,跳樓,related
1752,自殘,自殺,related
1753,適應,穩定,related
1754,解決,自殘,related
1755,感情,人際關係,related
1756,生存,解決,related
1757,意義,死,related
1758,陪住,朋友,related
1759,穩定,情緒,related
1760,電話,傾到,related
1761,男人,電話,related
1762,適應,感情,related
1763,死,生存,related
1764,煩惱,失落,related
1765,人際關係,男仔,related
1766,複雜,生活,related
1767,亂,迷惘,related
1768,崩潰,失落,related
1769,放假,人生,related
1770,精神科,抑鬱症,related
1771,抑鬱症,失眠,related
1772,男仔,拍拖,related
1773,心情,複雜,related
1774,頂唔順,頭痛,related
1775,大學,學校,related
1776,女仔,男朋友,related
1777,人際關係,女仔,related
1778,鍾意,人際關係,related
1779,中意,喜歡,related
1780,信心,中意,related
1781,男友,男仔,related
1782,家,家人,related
1783,家人,媽媽,related
1784,傾下,困擾,related
1785,精神科,姑娘,related
1786,轉介,精神科,related
1787,醫院,轉介,related
1788,同學,返學,related
1789,返學,讀書,related
1790,讀書,老師,related
1791,中學,同學,related
1792,持續,醫院,related
1793,心情,醫生,related
1794,爸,媽媽,related
1795,爸媽,爸,related
1796,家,爸爸媽媽,related
1797,病,醫院,related
1798,家人,屋企,related
1799,心情,持續,related
1800,姑娘,覆診,related
1801,覆診,入院,related
1802,放棄,大學,related
1803,返學,考試,related
1804,擔心,困擾,related
1805,學業,返學,related
1806,困擾,不安,related
1807,成績,學業,related
1808,同學,成績,related
1809,離開,自殺,related
1810,温書,同學,related
1811,上堂,温書,related
1812,自殺,放棄,related
1813,開心,陪住,related
1814,老師,讀書,related
1815,中學,老師,related
1816,學校,中學,related
1817,大學,學校,related
1818,迷惘,好煩,related
1819,失敗,同事,related
1820,絕望,崩潰,related
1821,拍拖,掛住,related
1822,好差,亂,related
1823,掛住,拍拖,related
1824,鐘意,掛住,related
1825,亂,好差,related
1826,愛,喜歡,related
1827,男朋友,愛,related
1828,姑娘,覆診,related
1829,世界,掛住,related
1830,食飯,傾計,related
1831,同事,食飯,related
1832,世界,同事,related
1833,世界,小朋友,related
1834,好差,好煩,related
1835,精神,病,related
1836,傾計,意見,related
1837,無力,崩潰,related
1838,累,不安,related
1839,頂唔順,失眠,related
1840,讀書,學校,related
1841,朋友,傾計,related
1842,失敗,朋友,related
1843,失敗,家人,related
1844,病,失眠,related
1845,精神,病,related
1846,開心,出街,related
1847,以為,同事,related
1848,返學,考試,related
1849,學,返學,related
1850,憎,負面,related
1851,好煩,憎,related
1852,討厭,好煩,related
1853,忘記,唔記得,related
1854,考試,功課,related
1855,男仔,拍拖,related
1856,拍拖,心痛,related
1857,上堂,功課,related
1858,抑鬱,焦慮,related
1859,失眠,抑鬱,related
1860,講過,失眠,related
1861,灰,憎,related
1862,心情,傾過,related
1863,罵,食飯,related
1864,焦慮,病,related
1865,心情,精神,related
1866,以為,知道,related
1867,開心,入院,related
1868,男友,拍拖,related
1869,冇用,廢,related
1870,開心,舒服,related
1871,休息,玩,related
1872,憎,崩潰,related
1873,憎,男仔,related
1874,病,精神科,related
1875,心痛,灰,related
1876,愛,喜歡,related
1877,好煩,負面,related
1878,不安,好煩,related
1879,無力,不安,related
1880,功課,考試,related
1881,開心,生命,related
1882,精神科,抑鬱症,related
1883,憎,愛,related
1884,心情,垃圾,related
1885,心情,保密,related
1886,心情,負面,related
1887,開心,唔記得,related
1888,頭痛,頂唔順,related
1889,開心,不安,related
1890,不安,心痛,related
1891,返學,考試,related
1892,死,離開,similar
1893,孤獨,寂寞,similar
1894,香港,家人,similar
1895,舒服,放鬆,similar
1896,家,屋企,similar
1897,傷害,休息,similar
1898,好煩,麻煩,similar
1899,好亂,亂,similar
1900,分享,講下,similar
1901,喜歡,鐘意,similar
1902,難,好難,similar
1903,男朋友,男友,similar
1904,難,好難,similar
1905,傾到,分享,similar
1906,難,好難,similar
1907,家人,家,similar
1908,忘記,唔記得,similar
1909,分手,解決,similar
1910,好煩,煩惱,similar
1911,家人,家,similar
1912,喜歡,鍾意,similar
1913,讀書,上堂,similar
1914,好難,難,similar
1915,家人,家,similar
1916,自殺,死,similar
1917,難,好難,similar
1918,傾下,傾到,similar
1919,屋企,家,similar
1920,困擾,煩惱,similar
1921,返學,上堂,similar
1922,傾過,講過,similar
1923,憎,討厭,similar
1924,男仔,男朋友,similar
1925,唔開心,低落,similar
1926,好睏,累,similar
1927,批評,罵,similar
1928,失落,低落,similar
1929,自信,信心,similar
1930,好睏,累,similar
1931,好亂,好煩,similar
1932,信心,自信,similar
1933,廢,失敗,similar
1934,低落,失落,similar
1935,無力,灰,similar
1936,幫助,幫到,similar
1937,家,家人,similar
1938,唔開心,感到傷害,similar
1939,無力,頂唔順,similar
1940,好睏,累,similar
1941,喜歡,鐘意,similar
1942,忘記,唔記得,similar
1943,喜歡,鐘意,similar
1944,學校,中學,similar
1945,好睏,累,similar
1946,累,好睏,similar
1947,無力,累,similar
1948,緊張,不安,similar
1949,好睏,累,similar
1950,入院,醫院,similar
1951,介手,公園,related
1952,self harm,overdose,related
1953,self harm,自我傷害,equal
1954,self harm,自殘,equal
1955,介手,天台,related
1956,上吊,介手,related
1957,介手,流緊血,lead
1958,天台,生存,because
1959,公園,流緊血,related
1960,介刀,傷害,lead
1961,成績,自殘,lead
1962,跳樓,生存,because
1963,天台,不開心,because
1964,跳樓,跳落去,equal
1965,跳樓,好辛苦,because
1966,功課,自殺,because
1967,抑鬱,跳樓,lead
1968,介刀,介手,related
1969,公園,流血,related
1970,介手,sex,because
